slug,name,definition,status
identity,Identité,"Parcours personnel, évolution de soi et rapport à soi.",active
meaning,Sens,"Recherche de sens, valeurs et questionnements existentiels.",active
spirituality,Spiritualité,"Foi, religion, pratiques rituelles et rapport au sacré.",active
family,Famille,"Origines, parents, fratrie et dynamiques avec la parenté.",active
parenting,Parentalité,"Élever ses enfants et la relation avec eux.",active
love,Amour,"Relations amoureuses, attachement et vie de couple.",active
sexuality,Sexualité,"Désir, vie sexuelle et rapport à sa sexualité.",active
friendship,Amitié,"Relations amicales et liens sociaux proches.",active
society,Société,"Vie civique, politique et culturelle, appartenance collective et regard sur le monde et les idées.",active
work,Travail,"Emploi, carrière, environnement professionnel et projets liés au travail.",active
direction,Direction de vie,"Objectifs, aspirations, choix et bifurcations qui orientent la vie.",active
learning,Apprentissage,"Études, apprentissages et développement de compétences.",active
creativity,Créativité,"Pratique artistique, idées et expression créative.",active
leisure,Loisirs,"Jeux, sport, divertissement et temps libre.",active
health,Santé,"Santé physique ou mentale, énergie et bien-être général.",active
body,Corps,"Rapport au corps, sensations physiques et image corporelle.",active
habits,Habitudes,"Routines, discipline et comportements répétés au quotidien.",active
finance,Finances,"Argent, budget, revenus et sécurité matérielle.",active
travel,Voyage,"Voyages, déplacements et découvertes de lieux.",active
home,Chez-soi,"Logement, espace personnel, déménagement et rapport au lieu de vie.",active
grief,Deuil,"Perte, manque et deuil, après une mort ou une fin marquante.",active
